id,text,label,subtype,source,received,notes
s00001,"I'm sorry to bother you, I read your profile on linkedin and I'd love to learn from industry stalwarts like you from each other",scam,impersonation,smishtank,,smishtank:wrong number
s00002,FRM:<ACCT> SUBJ:-<ACCT> MSG: -<ACCT>.WellsFARGO. <URL>,scam,bank_phish,smishtank,,smishtank:banking
s00003,Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recovery your account immediately click link bellow: <URL>,scam,other_scam,smishtank,,smishtank:others
s00004,You have a parcel pending for delivery.,scam,delivery_fee,smishtank,,smishtank:delivery
s00005,"Hi Mum | smashed my phone and I'm using a friends phone to message you and phone is about to die Could you message me on WhatsApp, my new number is <PHONE>",scam,impersonation,smishtank,,smishtank:hey mum/dad
s00006,Apple: Your Apple Pay has been suspended due to unusual activity. Please visit: <URL> to reactivate your wallet.,scam,bank_phish,smishtank,,smishtank:banking
s00007,"Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit <URL>",scam,other_scam,smishtank,,smishtank:others
s00008,"Alert!! Your Cloudflare schedule has been updated, Please tap <URL> to view your changes.",scam,other_scam,smishtank,,smishtank:others
s00009,Our services were severely disrupted <DATE>. We're compensating everyone affected with a $50.00 CAD indemnity. Sorry for the inconvenience we may have caused you.,scam,other_scam,smishtank,,smishtank:others
s00010,"US Post) - Your courier is stuck at the transit center, fill in the delivery address and re-deliver: <URL>",scam,delivery_fee,smishtank,,smishtank:delivery
s00011,"Please confirm your shipment details, otherwise your item will be sent back to the sender: <URL>",scam,delivery_fee,smishtank,,smishtank:delivery
s00012,AN POST: Your package has a €1.90 unpaid fee. To pay this visit <URL> . If this is not paid the package will be returned.,scam,delivery_fee,smishtank,,smishtank:delivery
s00013,AN POST: Your package has a €1.90 unpaid fee. To pay this visit <URL> If this is not paid the package will be returned to sender.,scam,delivery_fee,smishtank,,smishtank:delivery
s00014,"<UBERsMESSAGE> Did you recently sign in from anew device near ,? **If this wasn't you, see hitps://",scam,other_scam,smishtank,,smishtank:others
s00015,We've issued you a $258.44 tax refund for overpayments made in <DATE>. Check the details. <URL>,scam,other_scam,smishtank,,smishtank:government
s00016,"You've been exposed to someone with (Omicron). You are required to take immediate action, to order a PCR test, visit: health-care- <URL>",scam,other_scam,smishtank,,smishtank:others
s00017,We identified you as a contact of someone who recently tested positive for Omicron. You must order a home test kit. Please visit:,scam,other_scam,smishtank,,smishtank:others
s00018,"RoyalMail: Sorry you have not accepted the 2.99 (GBP), Choose another delivery date: https:// $code lanfeT bata AC 1eh se AeA)",scam,delivery_fee,smishtank,,smishtank:delivery
s00019,Your account is temporarily locked. Verify yourself to get unrestricted.,scam,bank_phish,smishtank,,smishtank:banking
s00020,", | need to know if you are available in a split second. | am at a meeting and limited to calls, but |am good to go with texts if that works. Need you to handle a task. Thanks",scam,impersonation,smishtank,,smishtank:wrong number
s00021,Citizens: We are contacting you about an Exxon-Mobil charge made with you card. Visit https://,scam,bank_phish,smishtank,,smishtank:banking
s00022,"APPLE: Apple Pay was deactivated on your device. To reactivate, visit the link immediately: <URL> <URL>",scam,bank_phish,smishtank,,smishtank:banking
s00023,<DATE> your parcel but no one answered. Reschedule & track parcel at: <URL> <URL>,scam,delivery_fee,smishtank,,smishtank:delivery
s00024,"<URL> ZofHB08b2QA83Y9tzOm Amazon: Sign-in from I, GR. Tap link to respond.",scam,other_scam,smishtank,,smishtank:others
s00025,You've got a new voice message from your insurance company http://,scam,other_scam,smishtank,,smishtank:others
s00026,NHS-ALERT: We identified you as a contact of someone who recently tested positive for Omicron. You must book a home test kit: per-,scam,other_scam,smishtank,,smishtank:government
s00027,USPS: the scheduled delivery for the package 4x381ba has been changed. Please confirm here: <URL>,scam,delivery_fee,smishtank,,smishtank:delivery
s00028,"SingaPost : Your Reffrence Number <ACCT> Is ready for collection, Or you can add an address if you want to receive your item by post <URL> 8Kefks40G9",scam,delivery_fee,smishtank,,smishtank:delivery
s00029,BOI: We have temporarily restricted access to your account due to suspicious activity. Please visit <URL>,scam,bank_phish,smishtank,,smishtank:banking
s00030,"You have sent a payment of $199.99 to . If you did not authenticate this transaction, check here",scam,bank_phish,smishtank,,smishtank:banking
s00031,From ASB: A new Nokia <ACCT> has been registered on your ASB app. Not you? Please visit,scam,bank_phish,smishtank,,smishtank:banking
s00032,"USP! When the package arrives, the courier cannot find you. Would you like to schedule a redelivery?",scam,delivery_fee,smishtank,,smishtank:delivery
s00033,€ PARCEL-<ACCT> IS PENDING - Please confirm item! Track: <URL> Pee,scam,delivery_fee,smishtank,,smishtank:delivery
s00034,We have detected unusual login attempts on your account. You can avoid restrictions by visiting https:// <URL>,scam,bank_phish,smishtank,,smishtank:banking
s00035,NHS: You've have been in close contact with a person who has Omicron. Please order a Test Kit: <URL> <URL>,scam,other_scam,smishtank,,smishtank:government
s00036,You have been in close contact with someone who has the Omicron Variant. You must order a free PCR testing kit here: <URL>quest- <URL>,scam,other_scam,smishtank,,smishtank:government
s00037,NHS: You've been near someone with the Omicron Variant. Apply for a Test Kit <DATE>: <URL> <URL>,scam,other_scam,smishtank,,smishtank:government
s00038,"| Mrs. from contact me on this email: .com immediately It's an interesting discussion i have for you,IT IS URGENT REPLY ME NOW",scam,other_scam,smishtank,,smishtank:others
s00039,You just sent a payment of $12.60 USD to . If you don't recognize this,scam,bank_phish,smishtank,,smishtank:banking
s00040,"ATT Free Msg: <DATE> bill is paid. Thanks, Here's a little",scam,other_scam,smishtank,,smishtank:others
s00041,"Due to a violation of our terms and conditions, your online has been limited. To reactivate please visit: https:// <URL>",scam,bank_phish,smishtank,,smishtank:banking
s00042,C.R.A. - Your tax return is Now available. Proceed here :,scam,other_scam,smishtank,,smishtank:government
s00043,"Your One Time Passcode is <DATE> for a payment of 415.89 to CURRYS. Ref RB9U If this was NOT you, Please call our dedicated fraud team on <DATE>",scam,bank_phish,smishtank,,smishtank:banking
s00044,DID YOU ATTEMPT A PURCHASE FOR THE AMOUNT OF $298.88 AT WALMART #<ACCT> IN COLOMBUS OH JUST NOW ? RELPY (Y) FOR YES OR (N) FOR NO.,scam,bank_phish,smishtank,,smishtank:banking
s00045,"You received an e-Transfer. Reply ""info"" for more details.",scam,bank_phish,smishtank,,smishtank:banking
s00046,"Dear customer, Your Apple ID is due to expire <DATE>.",scam,other_scam,smishtank,,smishtank:others
s00047,'-) ADVISORY: Your Online Digital Access is under verification please proceed here if your registered mobile number is still active <URL> <URL>,scam,bank_phish,smishtank,,smishtank:banking
s00048,NHS: We noticed you haven't applied for your Covid Pass. Follow the link to complete registration and avoid penalties:,scam,other_scam,smishtank,,smishtank:government
s00049,DVLA: We recalculated £48.84 is due <URL> to claim,scam,other_scam,smishtank,,smishtank:government
s00050,to continue streaming <URL> ee,scam,other_scam,smishtank,,smishtank:telecom
s00051,"~ Msg: Chasec- Block placed on your Chase checking account, please contact <PHONE> to authenticate.",scam,bank_phish,smishtank,,smishtank:banking
s00052,You / have (1) outstanding package! Ref: DHL-6461W Last chance to pick up > <URL> ?-v5zp,scam,delivery_fee,smishtank,,smishtank:delivery
s00053,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link.",scam,other_scam,smishtank,,smishtank:government
s00054,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https:// <URL> Netflix Services",scam,other_scam,smishtank,,smishtank:others
s00055,adidas code: 3944. Valid for <DATE>.,scam,other_scam,smishtank,,smishtank:others
s00056,"VODAFONE: Your Mobile SIM Contract(s) will be disabled, due to failure to accept our new Terms of Service. Log on: <URL> to accept",scam,other_scam,smishtank,,smishtank:telecom
s00057,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: <DATE>.",scam,other_scam,smishtank,,smishtank:government
s00058,Alert:Your Edd account was just signed in new device. If this wasn't you kindly click here to regain the access or visit nearby branch.,scam,other_scam,smishtank,,smishtank:others
s00059,"FRM:<ACCT>-Fed_EX.<ACCT> MSG:flm-;it will be returned to sender,We have made several attempts to reach you,",scam,delivery_fee,smishtank,,smishtank:delivery
s00060,"{IRS-GOV}Your refund was rejected by IRS, to get approve kindly verify your identity here <URL> now",scam,other_scam,smishtank,,smishtank:government
s00061,NFCU ALERT: An attempt of $48.00 at Uber If you didn't authorize this transaction follow the link to cancel <URL>,scam,bank_phish,smishtank,,smishtank:banking
s00062,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to...",scam,other_scam,smishtank,,smishtank:government
s00063,"Hi Camillearielle. According to the CDC, gun violence is the leading cause of death for children & teens in . <DATE>, young people are facing threats of mass shootings in schools and neighborhood parks and streets. We must do better! While President has taken more executive action to reduce gun violence than any other president, in Congress refuse to act.",scam,other_scam,smishtank,,smishtank:others
s00064,"Look who died, in an accident I think you know him so sorry...",scam,other_scam,smishtank,,smishtank:others
s00065,"Transaction Alerts: your B 0 A card was used on <DATE> 15:46:55 EST for $1991.51, if you do not recognise this transaction contact us on <PHONE>",scam,bank_phish,smishtank,,smishtank:banking
